UniqueID	CACO2	hsa_LungadenocA549mock	hsa_LungadenocA549IFNa	hsa_LungadenocA549IFNb	hsa_LungadenocA549IFNg	hsa_KidneyembryoHEK293	hsa_KidneyembryoHEK293exp	hsa_KidneyembryoHEK2936d	hsa_KidneyembryoHEK293Fas12
hsa-let-7a-5p	3	59	44.8333	46	33.5	0	5	2	11
hsa-let-7b-5p	0	35	19	12	10	0	0	0	1
hsa-let-7c-5p	0	3	3	0	2.5	0	1	0	1
hsa-let-7d-5p	1	5	6	2.5	2	0	0	0	0
hsa-let-7e-5p	1	15	9.5	8.5	5	0	1	0	2
hsa-let-7f-5p	3	61	41.3333	34	28	0	0	5	8
hsa-let-7g-5p	9	0	3.33333	2.5	3	0	0	0	1
hsa-let-7i-5p	1	25	26	22.5	31	0	0	0	0
hsa-mir-101-5p	24	1	0	2	0	0	2	3	0
hsa-mir-103-5p	238	1	1	0	2	0	1	4	3
hsa-mir-106b-5p	48	2	4	4	1	1	4	5	16
hsa-mir-107-5p	40	0	0	0	0	0	0	0	0
hsa-mir-10a-5p	4	2	4	4	0	2	12	10	26
hsa-mir-10b-5p	0	1	0	0	0	0	1	6	11
hsa-mir-124-5p	0	0	0	0	0	0	1	3	1
hsa-mir-125a-5p	1	2	0	1	2	0	1	1	0
hsa-mir-126-5p	3	4	4	3	6	0	2	0	2
hsa-mir-128a-5p	21	0	0	1	0	0	0	1	2
hsa-mir-130a-5p	1	6	4	5	4	0	0	0	0
hsa-mir-130b-5p	8	0	0	0	0	0	0	0	3
hsa-mir-132-5p	0	0	0	0	1	0	0	1	2
hsa-mir-140-5p	0	8	17	5	14	1	4	3	9
hsa-mir-141-5p	99	0	1	1	0	0	0	0	0
hsa-mir-142-3p	2	0	0	0	0	0	3	1	0
hsa-mir-142-5p	0	0	0	1	0	0	26	6	0
hsa-mir-151-5p	9	3	5	3	10	0	0	6	5
hsa-mir-153-5p	0	0	0	0	0	0	0	3	0
hsa-mir-15a-5p	61	14	8	8	18	21	30	34	34
hsa-mir-15b-5p	14	6	6	8	3	1	8	4	6
hsa-mir-16-5p	56	53	52	54	37	15	38	72	55
hsa-mir-17-3p	34	0	2	0	0	0	3	6	3
hsa-mir-17-5p	32	3	6	5	7	9	16.5	28	17.8333
hsa-mir-181a-5p	16	1	2	1	2	0	1	1	3
hsa-mir-181b-5p	11	2	1	1	2	0	1	1	1
hsa-mir-182-5p	32	7	4	3	7	0	3	2	4
hsa-mir-183-5p	2	2	2	2	4	0	0	2	2
hsa-mir-185-5p	3	1	1	0	0	1	0	0	2
hsa-mir-186-5p	7	3	8	2	5	1	2	7	18
hsa-mir-188-5p	7	0	0	0	0	0	1	1	0
hsa-mir-18a-5p	100	1	1.5	2.5	1	17	18.5	20	36
hsa-mir-191-5p	37	7	6	5	5	3	4	8	5
hsa-mir-192-5p	154	8	10	7	9	0	0	0	0
hsa-mir-193a-5p	164	0	1	0	0	0	0	0	0
hsa-mir-194-5p	222	6	4	8	4	0	0	0	0
hsa-mir-195-5p	0	0	0	0	1	0	0	1	2
hsa-mir-196a-5p	1	2	4	3	0	6	2	3	8
hsa-mir-196b-5p	1	0	0	1	0	3	35	23	38
hsa-mir-19a-5p	19	9	11	7	5	3	24	21	69
hsa-mir-19b-5p	29	1	12	10	8	14	16	25	80
hsa-mir-200a-5p	173	0	0	0	0	0	0	0	0
hsa-mir-200b-5p	144	0	0	0	0	0	0	0	0
hsa-mir-200c-5p	267	0	0	0	0	0	0	0	2
hsa-mir-203-5p	5	0	0	0	0	0	0	0	0
hsa-mir-205-5p	5	0	0	0	0	0	0	0	0
hsa-mir-20a-5p	32	3	7	4	4	3	13	25	30.8333
hsa-mir-21-5p	2347	144	230	183	198	0	0	4	3
hsa-mir-215-5p	19	0	0	0	0	0	0	0	0
hsa-mir-218-5p	4	0	0	0	0	0	2	1	7
hsa-mir-22-5p	165	0	10	5	6	0	2	3	4
hsa-mir-221-5p	10	0	0	2	1	2	2	5	8
hsa-mir-222-5p	22	0	4	1	3	1	0	2	1
hsa-mir-224-5p	1	1	5	4	3	0	0	0	0
hsa-mir-23a-5p	35	8	9.5	14	8	0	0	1	0
hsa-mir-23b-5p	41	12	9.5	7	7	0	0	0	1
hsa-mir-24-5p	70	23	33	43	21	1	3	5	2
hsa-mir-25-5p	103	3	5	8	2	0	2	12	9
hsa-mir-26a-5p	76	5	8	2	6	0	2	8	3.5
hsa-mir-26b-5p	17	3	6	5	6	0	0	5	2.5
hsa-mir-27a-5p	50	16.5	26.5	25	22.5	0	0	1	0
hsa-mir-27b-5p	21	28.5	32.5	40	17.5	0	2	4	0
hsa-mir-28-5p	12	2	5	3	4	0	2	1	0
hsa-mir-29a-5p	3	7	5	9	9	0	0	0	0
hsa-mir-29b-5p	17	17	34	15	14	1	1	6	5
hsa-mir-29c-5p	7	1	3	2	1	0	0	1	4
hsa-mir-301-5p	18	0	0	1	0	0	0	0	0
hsa-mir-302b-5p	12	0	0	0	0	0	0	0	0
hsa-mir-30a-3p	5	11	12	12	10	1	2.5	2	1
hsa-mir-30b-5p	83	0	2	1	1	0	1	2	2
hsa-mir-30c-5p	14	1	3	1	0	0	0	5	1
hsa-mir-30d-5p	141	3	1	6	2	2	4.5	8	3
hsa-mir-30e-5p	30	4	8	2	7	1	3	7	7
hsa-mir-31-5p	5	10	14	11	12	0	0	3	2
hsa-mir-32-5p	32	16	23	9	8	1	15	12	15
hsa-mir-320-5p	7	0	4	3	7	0	2	1	2
hsa-mir-324-5p	0	0	1	0	0	0	0	8	1
hsa-mir-33-5p	46	0	0	0	0	0	1	3	0
hsa-mir-335-5p	40	1	1	0	2	0	0	0	0
hsa-mir-338-5p	20	0	0	0	0	0	0	0	0
hsa-mir-365-5p	1	0	1	4	1	0	0	1	0
hsa-mir-371-5p	58	0	0	0	0	0	0	0	0
hsa-mir-372-5p	265	0	0	0	0	0	0	0	0
hsa-mir-373-5p	247	0	0	0	0	0	0	0	0
hsa-mir-374a-5p	26	9	3	7	8	0	1	5	1
hsa-mir-378-5p	0	0	2	2	0	0	1	4	12
hsa-mir-423-5p	4	2	0	3	0	0	0	0	2
hsa-mir-424-5p	5	7	13	14	26	0	10	27	32
hsa-mir-425-5p	5	3	2	0	2	0	3	6	3
hsa-mir-7-5p	1	2	8	1	4	0	0	0	16
hsa-mir-9-5p	10	1	1	1	3	0	1	6	3
hsa-mir-92a-5p	93	5	7	5	5	2	9	43	39
hsa-mir-93-5p	28	4	2	3	4	3	7	16	2
hsa-mir-95-5p	0	0	0	0	0	0	0	3	0
hsa-mir-96-5p	5	1	2	6	2	0	0	6	3
hsa-mir-99a-5p	1	1	0	0	3	2	0	4	0
hsa-mir-99b-5p	3	8	9	6	6	0	0	6	5
