UniqueID	CACO2	N308	N309
hsa-let-7a-5p	3	43	95
hsa-let-7b-5p	0	32	59
hsa-let-7c-5p	0	5	10
hsa-let-7d-5p	1	8	5
hsa-let-7e-5p	1	4	2
hsa-let-7f-5p	3	67	106
hsa-let-7g-5p	9	82	102
hsa-let-7i-5p	1	10	12
hsa-mir-1-5p	0	27	95
hsa-mir-100-5p	0	2	6
hsa-mir-101-5p	24	179	289
hsa-mir-103-5p	238	44	58
hsa-mir-106a-5p	2	2	4
hsa-mir-106b-5p	48	9	7
hsa-mir-107-5p	40	17	22
hsa-mir-10a-5p	4	10	14
hsa-mir-10b-5p	0	4	0
hsa-mir-125a-5p	1	3	7
hsa-mir-125b-5p	0	33	65
hsa-mir-126-5p	3	61	82
hsa-mir-128a-5p	14	0	2
hsa-mir-128b-5p	7	0	2
hsa-mir-130a-5p	1	11	30
hsa-mir-130b-5p	8	3	1
hsa-mir-132-5p	0	2	0
hsa-mir-133a-5p	0	14	34
hsa-mir-135a-5p	0	1	0
hsa-mir-135b-5p	3	0	0
hsa-mir-136-5p	0	4	9
hsa-mir-138-5p	2	2	0
hsa-mir-139-5p	1	4	2
hsa-mir-140-5p	0	12	8
hsa-mir-141-5p	99	69	59
hsa-mir-142-3p	2	170	201
hsa-mir-142-5p	0	10	27
hsa-mir-143-5p	0	724	1823
hsa-mir-144-5p	0	173	219
hsa-mir-145-5p	0	367	878
hsa-mir-146a-5p	0	1	5
hsa-mir-146b-5p	1	1	2
hsa-mir-148a-5p	4	2	8
hsa-mir-148b-5p	1	0	0
hsa-mir-149-5p	2	0	0
hsa-mir-150-5p	0	41	26
hsa-mir-151-5p	9	0	2
hsa-mir-152-5p	0	7	3
hsa-mir-153-5p	0	1	1
hsa-mir-154-5p	0	1	3
hsa-mir-155-5p	4	9	9
hsa-mir-15a-5p	61	42	51
hsa-mir-15b-5p	14	9	11
hsa-mir-16-5p	56	81	114
hsa-mir-17-3p	34	7	11
hsa-mir-17-5p	32	9	11
hsa-mir-181a-5p	16	26	36
hsa-mir-181b-5p	11	3	3
hsa-mir-181c-5p	0	1	4
hsa-mir-181d-5p	0	0	1
hsa-mir-182-5p	32	1	0
hsa-mir-183-5p	2	0	0
hsa-mir-184-5p	1	0	0
hsa-mir-185-5p	3	1	0
hsa-mir-186-5p	7	1	1
hsa-mir-188-5p	7	0	0
hsa-mir-18a-5p	100	13	9
hsa-mir-18b-5p	0	0	1
hsa-mir-190-5p	0	4	0
hsa-mir-191-5p	37	47	73
hsa-mir-192-5p	154	296	205
hsa-mir-193a-5p	164	77	225
hsa-mir-193b-5p	2	1	3
hsa-mir-194-5p	222	320	253
hsa-mir-195-5p	0	31	87
hsa-mir-196a-5p	1	1	1
hsa-mir-196b-5p	1	7	7
hsa-mir-197-5p	1	1	4
hsa-mir-199a-5p	0	12	12
hsa-mir-199b-5p	0	3	5
hsa-mir-19a-5p	19	11	25
hsa-mir-19b-5p	29	42	80
hsa-mir-200a-5p	173	1050	719
hsa-mir-200b-5p	144	582	329
hsa-mir-200c-5p	267	612	470
hsa-mir-203-5p	5	8	10
hsa-mir-204-5p	0	0	1
hsa-mir-205-5p	5	0	0
hsa-mir-20a-5p	32	12	13
hsa-mir-20b-5p	0	0	2
hsa-mir-21-5p	2347	1177	1306
hsa-mir-210-5p	1	9	5
hsa-mir-213-5p	0	0	0
hsa-mir-214-5p	0	9	11
hsa-mir-215-5p	19	16	13
hsa-mir-218-5p	4	43	53
hsa-mir-219-5p	1	0	1
hsa-mir-22-5p	165	128	178
hsa-mir-221-5p	10	10	9
hsa-mir-222-5p	22	21	17
hsa-mir-223-5p	0	2	6
hsa-mir-224-5p	1	0	0
hsa-mir-23a-5p	35	9	15
hsa-mir-23b-5p	41	29	74
hsa-mir-24-5p	70	202	445
hsa-mir-25-5p	103	9	13
hsa-mir-26a-5p	76	304	564
hsa-mir-26b-5p	17	37	82
hsa-mir-27a-5p	50	138	426
hsa-mir-27b-5p	21	66	153
hsa-mir-28-5p	12	9	12
hsa-mir-296-5p	2	0	0
hsa-mir-299-3p	0	0	2
hsa-mir-299-5p	0	0	1
hsa-mir-29a-5p	3	44	64
hsa-mir-29b-5p	17	66	101
hsa-mir-29c-5p	7	60	84
hsa-mir-301-5p	18	5	3
hsa-mir-302a-5p	2	0	0
hsa-mir-302b-5p	12	0	0
hsa-mir-302c-5p	2	0	0
hsa-mir-302d-5p	2	0	0
hsa-mir-30a-3p	0	0	1
hsa-mir-30a-5p	5	152	227
hsa-mir-30b-5p	83	22	43
hsa-mir-30c-5p	14	43	64
hsa-mir-30d-5p	141	38	85
hsa-mir-30e-3p	2	3	3
hsa-mir-30e-5p	30	125	180
hsa-mir-31-5p	5	0	0
hsa-mir-32-5p	32	14	9
hsa-mir-320-5p	7	7	3
hsa-mir-323-5p	0	1	4
hsa-mir-324-3p	0	1	0
hsa-mir-324-5p	0	0	6
hsa-mir-326-5p	0	0	0
hsa-mir-33-5p	46	5	10
hsa-mir-330-5p	0	0	2
hsa-mir-331-5p	2	3	5
hsa-mir-335-5p	40	80	43
hsa-mir-338-5p	20	3	8
hsa-mir-339-5p	1	0	0
hsa-mir-342-5p	2	11	14
hsa-mir-345-5p	1	0	0
hsa-mir-34a-5p	2	5	7
hsa-mir-34c-5p	0	0	1
hsa-mir-361-5p	1	0	2
hsa-mir-362-5p	2	0	0
hsa-mir-363-5p	0	5	9
hsa-mir-365-5p	1	6	16
hsa-mir-367-5p	4	0	0
hsa-mir-371-5p	58	0	0
hsa-mir-372-5p	265	0	0
hsa-mir-373-5p	247	0	0
hsa-mir-374a-5p	26	53	108
hsa-mir-375-5p	2	16	29
hsa-mir-377-5p	0	1	1
hsa-mir-378-5p	0	0	4
hsa-mir-379-5p	0	0	0
hsa-mir-381-5p	0	2	0
hsa-mir-382-5p	0	0	0
hsa-mir-409-3p	0	3	3
hsa-mir-410-5p	0	2	3
hsa-mir-422b-5p	2	0	1
hsa-mir-423-5p	4	0	0
hsa-mir-424-5p	5	3	5
hsa-mir-425-5p	5	0	0
hsa-mir-429-5p	4	9	6
hsa-mir-449-5p	0	0	0
hsa-mir-450-5p	0	1	0
hsa-mir-451-5p	0	311	393
hsa-mir-452-5p	2	0	0
hsa-mir-494-5p	0	0	1
hsa-mir-495-5p	0	0	1
hsa-mir-497-5p	0	10	15
hsa-mir-498-5p	1	0	0
hsa-mir-499-5p	0	0	0
hsa-mir-501-5p	2	0	0
hsa-mir-502-5p	1	0	0
hsa-mir-505-5p	2	0	0
hsa-mir-507-5p	0	0	0
hsa-mir-512-1-5p	1	0	0
hsa-mir-512-2-5p	1	0	0
hsa-mir-514-5p	0	0	0
hsa-mir-517a-5p	1	0	0
hsa-mir-517c-5p	1	0	0
hsa-mir-518b-5p	0	0	0
hsa-mir-520d-5p	0	0	0
hsa-mir-520g-5p	0	0	0
hsa-mir-520h-5p	0	0	0
hsa-mir-521-5p	0	0	0
hsa-mir-525-5p	1	0	0
hsa-mir-7-5p	1	0	1
hsa-mir-9-5p	10	1	0
hsa-mir-92a-5p	93	8	14
hsa-mir-93-5p	28	9	3
hsa-mir-95-5p	0	2	5
hsa-mir-96-5p	5	0	0
hsa-mir-98-5p	0	2	1
hsa-mir-99a-5p	1	2	4
hsa-mir-99b-5p	3	4	8
